city,year,no_stations
Karnal,2021,1.0
Karnal,2022,1.0
Karnal,2023,1.0
Karnal,2024,1.0
Karnal,2025,1.0
Karur,2024,1.0
Karur,2025,1.0
Karwar,2023,1.0
Karwar,2024,1.0
Karwar,2025,1.0
Kashipur,2023,1.0
Kashipur,2024,1.0
Kashipur,2025,1.0
Katihar,2021,1.0
Katihar,2022,1.0
Katihar,2023,1.0
Katihar,2024,1.0
Katihar,2025,1.0
Katni,2019,1.0
Katni,2020,1.0
Katni,2021,1.0
Katni,2022,1.0
Katni,2023,1.0
Katni,2024,1.0
Katni,2025,1.0
Keonjhar,2022,1.0
Keonjhar,2023,1.0
Keonjhar,2024,1.0
Keonjhar,2025,1.0
Khanna,2018,1.0
Khanna,2019,1.0
Khanna,2020,1.0
Khanna,2021,1.0
Khanna,2022,1.0
Khanna,2023,1.0
Khanna,2024,1.0
Khanna,2025,1.0
Khurja,2022,1.0
Khurja,2023,1.0
Khurja,2024,1.0
Khurja,2025,1.0
Kishanganj,2021,1.0
Kishanganj,2022,1.0
Kishanganj,2023,1.0
Kishanganj,2024,1.0
Kishanganj,2025,1.0
Kochi,2020,1.0
Kochi,2021,1.0
Kochi,2022,1.0
Kochi,2023,1.0
Kochi,2024,1.0
Kohima,2020,1.0
Kohima,2021,1.0
Kohima,2022,1.0
Kohima,2023,1.0
Kohima,2024,1.0
Kohima,2025,1.0
Kolar,2021,1.0
Kolar,2022,1.0
Kolar,2023,1.0
Kolar,2024,1.0
Kolar,2025,1.0
Kolhapur,2023,1.85
Kolhapur,2024,1.793956043956044
Kolhapur,2025,1.7857142857142858
Kolkata,2016,1.267515923566879
Kolkata,2017,1.542857142857143
Kolkata,2018,1.2088353413654618
Kolkata,2019,3.633608815426997
Kolkata,2020,6.1256830601092895
Kolkata,2021,6.405479452054794
Kolkata,2022,6.597260273972603
Kolkata,2023,6.813698630136987
Kolkata,2024,6.775956284153006
Kolkata,2025,6.3003300330033
Kollam,2020,1.0
Kollam,2021,1.0
Kollam,2022,1.0
Kollam,2023,1.0
Kollam,2024,1.0
Kollam,2025,1.0
Koppal,2020,1.0
Koppal,2021,1.0
Koppal,2022,1.0
Koppal,2023,1.0
Koppal,2024,1.0
Koppal,2025,1.0
Korba,2022,1.6666666666666667
Korba,2023,1.8403361344537814
Korba,2024,1.7077363896848137
Korba,2025,1.7040816326530612
Kota,2017,1.0
Kota,2018,1.0
Kota,2019,1.0
Kota,2020,1.0
Kota,2021,1.0
Kota,2022,1.0
Kota,2023,2.769230769230769
Kota,2024,2.8961748633879782
Kota,2025,2.910891089108911
Kozhikode,2020,1.0
Kozhikode,2021,1.0
Kozhikode,2022,1.0
Kozhikode,2023,1.0
Kunjemura,2023,1.0
Kunjemura,2024,1.0
Kunjemura,2025,1.0
Kurukshetra,2019,1.0
Kurukshetra,2020,1.0
Kurukshetra,2021,1.0
Kurukshetra,2022,1.0
Kurukshetra,2023,1.0
Kurukshetra,2024,1.0
Kurukshetra,2025,1.0
Latur,2023,1.0
Latur,2024,1.0
Latur,2025,1.0
Loni_Dehat,2019,1.0
Loni_Ghaziabad,2019,1.0
Lucknow,2015,2.3073170731707315
Lucknow,2016,2.466887417218543
Lucknow,2017,2.7346368715083798
Lucknow,2018,3.73972602739726
Lucknow,2019,3.706849315068493
Lucknow,2020,3.8333333333333335
Lucknow,2021,4.873972602739726
Lucknow,2022,5.8191780821917805
Lucknow,2023,5.832876712328767
Lucknow,2024,5.743169398907104
Lucknow,2025,5.732673267326732
Ludhiana,2017,1.0
Ludhiana,2018,1.0
Ludhiana,2019,1.0
Ludhiana,2020,1.0
Ludhiana,2021,1.0
Ludhiana,2022,1.0
Ludhiana,2023,1.0
Ludhiana,2024,1.0
Ludhiana,2025,1.0
Madikeri,2020,1.0
Madikeri,2021,1.0
